question,answer,first_wrong_answer,second_wrong_answer,third_wrong_answer
Which game mechanic is used when a player casts a planeswalker card as a spell?,It uses the stack.,It is played directly onto the battlefield.,It requires tapping a land first.,It cannot be cast as a spell.
What happens when a planeswalker spell resolves?,Its controller puts it onto the battlefield under their control.,It goes into the graveyard.,It is returned to the hand.,It is removed from play permanently.
What supertype did planeswalker cards printed before the removal of the planeswalker uniqueness rule receive in the Oracle card reference?,Legendary,Common,Mythic,Basic
What rule was removed that previously prevented a player from controlling two planeswalkers of the same type?,The planeswalker uniqueness rule,The legend rule,The planeswalker power rule,The planeswalker summoning rule
How are planeswalker cards printed before the rule change treated regarding the legend rule?,They are subject to the legend rule as they received the legendary supertype.,They are exempt from the legend rule.,They are considered non‑legendary.,They have a special uniqueness rule.
What rule governs legendary permanents such as planeswalkers?,The legend rule,The uniqueness rule,The loyalty rule,The supertype rule
Which type of permanent has loyalty as a characteristic?,planeswalkers,creatures,artifacts,lands
What determines a planeswalker's loyalty when it is not on the battlefield?,The number printed in its lower‑right corner.,The number of loyalty counters on it.,The number of times it has entered the battlefield.,The number of times it has left the battlefield.
What intrinsic ability does a planeswalker possess regarding loyalty counters when it enters the battlefield?,It enters the battlefield with a number of loyalty counters equal to its printed loyalty number.,It removes all loyalty counters from other planeswalkers when it enters.,It creates an extra loyalty counter each time a creature attacks.,It gains an additional loyalty counter for each opponent it beats in a match.
What type of effect does a planeswalker’s intrinsic ability create when it enters the battlefield?,A replacement effect.,A triggered ability that activates after combat.,A static ability that applies while the planeswalker is in play.,A state‑based action that removes all counters from it.
What determines a planeswalker's loyalty while it is on the battlefield?,The number of loyalty counters it has.,The number printed in its lower‑right corner.,The number of spells it has cast.,The number of cards in the controller’s hand.
"If a planeswalker has three loyalty counters on it, what is its loyalty?",Three.,Its printed loyalty number (which may be different).,The number of activated loyalty abilities it has used that turn.,"Zero, because it is on the battlefield."
What are loyalty abilities on a planeswalker?,They are activated abilities that use loyalty symbols in their costs.,They are passive abilities that grant +1/+1 counters.,They are abilities that can only be activated during combat.,They are abilities that require paying life.
Under what conditions can a player activate a loyalty ability of a planeswalker they control?,"Only during a main phase when the player has priority and the stack is empty, and only if no other loyalty abilities of that planeswalker have been activated that turn.","Any time during the game, regardless of phase.",Only during combat if the planeswalker has been attacked.,Only if the player has more loyalty counters than all opponents.
