question,answer,first_wrong_answer,second_wrong_answer,third_wrong_answer
How are numbered rules and subrules identified in the official Magic: The Gathering rules?,Each rule and subrule has its own unique number.,All rules share a single number.,Only the main rules are numbered; subrules are labeled alphabetically.,Subrules are numbered by letters.
How many players must be involved for these Magic rules to apply?,two or more players,only two players,only multiplayer games,any number of players
Which type(s) of Magic game are covered by these rules?,Two‑player and multiplayer games,Only multiplayer games,Only single‑player games,"All games, including single‑player games"
How many players are required to begin a two‑player game?,Only two players,More than two players,Exactly one player,Exactly three players
What distinguishes a multiplayer game from a two‑player game?,It begins with more than two players,It begins with exactly two players,It uses a special deck format,It requires a single player to start the game
What must each player have to play a game of Magic?,Their own deck of traditional Magic cards,A shared deck of other players' cards,A deck of non‑traditional cards,No deck required
What is used to represent tokens and counters during play?,Small items that represent any tokens and counters,Tokens and counters printed on the cards themselves,Players’ own small stones chosen at random,Tokens and counters are not used in the game
How should each player keep track of their life total?,Some way to clearly track life totals,By rolling a dice each turn,By remembering the numbers in their head,By using a timer on the battlefield
What is the minimum number of cards a deck must contain for constructed play?,60 cards,40 cards,75 cards,20 cards
What does “constructed play” refer to?,Each player builds their own deck before the game,Players draw cards from a communal pool,All cards are played in a pre‑made deck,Players use only pre‑built decks from a tournament
"In Magic: The Gathering deck construction, how are cards with interchangeable names treated?",They have the same English name for counting duplicates.,"They are considered distinct cards, allowing more than four of each name.",They cannot be included in a deck at all.,They count as separate types so you may include unlimited copies.
What is the minimum number of cards required for a deck in limited play?,40 cards,20 cards,60 cards,50 cards
"In limited play, what does a player use to build their deck?",The same quantity of unopened Magic product (such as booster packs) and basic land cards,Any Magic product,Only basic land cards,Any cards from their collection
How many copies of a card may a player include in a limited deck?,As many copies as are included with the product,Exactly four copies of each card,Only one copy of each card,The number of copies is limited by the total deck size
What does rule 100.2c state about Commander decks?,Commander decks are subject to additional deckbuilding restrictions and requirements.,Commander decks can be built using any card in any quantity.,Commander decks must have a minimum of 60 cards.,Commander decks cannot include basic land cards.
Which rule contains the detailed restrictions and requirements for building a Commander deck?,"Rule 903, “Commander.”","Rule 100.2a, “Limited play.”","Rule 100.2b, “Deck size.”","Rule 108.2a, “Supplementary decks.”"
What do supplementary decks of nontraditional Magic cards have according to the rules?,Their own deck construction rules.,The same deck construction rules as regular decks.,No deck construction rules at all.,They must be built using only cards from the standard card pool.
What additional items do some casual variants require?,"specially designated cards, nontraditional Magic cards, and specialized dice",only coins,only standard Magic cards,only extra mana crystals
Which of the following is NOT mentioned as a required additional item for some casual variants of Magic?,Regular coins,Specially designated cards,Nontraditional Magic cards,Specialized dice
What is a sideboard in Magic: The Gathering?,It is a group of additional cards the player may use to modify their deck between games of a match.,It is a special set of cards that can only be used once per game.,It is a deck of cards used for the starting hand.,It is a group of cards that you cannot use in the match.
What is the maximum number of cards allowed in a sideboard for constructed play?,Fifteen.,Ten.,Twenty.,Unlimited.
Which set of rules modifies sideboard rules and restrictions for some formats?,Magic: The Gathering Tournament Rules,Official Game Rules,Sideboard Regulations Handbook,Player’s Guide to Deck Building
What is the maximum number of cards a sideboard may contain in constructed play?,Fifteen,Ten,Twenty,Forty
What is the maximum number of cards allowed in a sideboard in constructed play?,15 cards,20 cards,12 cards,10 cards
"In limited play involving individual players, where are all cards that are not included in a player’s deck placed?",In the sideboard,In the graveyard,In the hand,On the battlefield
What is the maximum total number of cards allowed in a deck and its sideboard combined in constructed play?,60 cards,50 cards,70 cards,55 cards
What does the four-card limit refer to in constructed play?,The combined deck and sideboard.,Only the main deck.,Only the sideboard.,The number of cards a player may hold in reserve.
"In limited play involving individual players, where are all cards in a player’s card pool that are not included in their deck stored?",in the player's sideboard,in the main deck,in the graveyard,in the library
"In limited play with individual players, what does a sideboard consist of?",the set of cards in a player's card pool not included in their deck,the set of cards in the library,the set of cards in the graveyard,the set of cards on the battlefield
What does the rule state about sideboard ownership in multiplayer team limited play?,Each player has their own sideboard; cards may not be transferred between players.,The team shares a single sideboard that all players can use.,Players can transfer sideboard cards between each other as needed.,A sideboard is only used by the team’s captain and not by the other players.
What is the maximum deck size for non‑Commander decks?,There is no maximum deck size for non‑Commander decks.,The maximum deck size is 60 cards.,The maximum deck size is 100 cards.,The maximum deck size is 40 cards.
What can tournament rules limit regarding cards?,"They may limit the use of some cards, including barring all cards from older sets",The number of cards you can draw each turn,The mana cost of cards,The color of cards
Can tournament rules ban all cards from older sets?,"Yes, tournament rules may ban all cards from some older sets","No, older sets are always allowed",Only new sets can be banned,"Only specific cards can be banned, not entire sets"
What does a multiplayer match usually consist of?,Only one game,Two games,Three games,As many games as needed to determine a winner
