question,answer,first_wrong_answer,second_wrong_answer,third_wrong_answer
"After a game restart, where does a card that was outside the game (e.g., brought in by Living Wish) end up for its owner?",It becomes part of the owner’s library.,It is discarded to the graveyard.,It is returned to the battlefield.,It is exiled permanently.
"When a player casts Living Wish to bring a creature card from outside the game and the game is restarted, where does that creature card go in the new game?",It becomes part of that player’s library when the new game begins.,It is discarded to the graveyard.,"It remains outside the game, not in any zone.",It is shuffled directly onto the battlefield.
Which rule governs what happens to cards that are brought into the game from outside when a game is restarted?,Rule 726.2.,Rule 726.3.,Rule 722.4.,Rule 730.1.
Where does a creature card that was cast from outside the game end up when the game restarts?,In that player’s library,In that player’s graveyard,On the battlefield,In that player’s hand
Does a player’s ownership of a card change when a new game begins?,"No, ownership remains the same","Yes, the card is transferred to the opponent","Yes, the card is returned to its owner’s hand","Yes, the card is moved to the common pool of cards"
When does the effect that restarts the game finish resolving?,just before the first turn’s untap step,immediately after the first player’s draw step,at the beginning of the second turn,during the game’s finalization
What happens to priority after the restart effect resolves?,No player has priority,The active player gains priority,All players share priority,Priority passes to the last player who cast the restart effect
When do triggered abilities resulting from a game restart go on the stack?,"At the next time a player receives priority, usually during the first turn’s upkeep step",Immediately after the restart effect resolves,During the first turn’s combat step,They are discarded and never go on the stack
"When a spell or ability that caused a game restart has additional instructions, when are those instructions followed?","At the time of the restart, just before the first turn’s untap step.",After the first turn’s upkeep step.,When the next player receives priority.,Only if the spell had a “delayed” ability.
What happens to cards that are exempt from the procedure that restarts the game?,They are not in their owner’s deck as the new game begins.,They are shuffled into the deck before the new game.,They are returned to the graveyard at the start of the new game.,They are placed face‑down on the battlefield.
"In a Commander game, where does a commander that has been exempted from the procedure that restarts the game begin the new game?",It won’t begin the new game in the command zone.,It starts in the command zone as usual.,It begins on the battlefield in the command zone.,It is placed directly into the owner’s library.
What does rule 726.5 say about cards that are exempt from the restart procedure at the start of a new game?,They are not in their owner’s deck as the new game begins.,They are shuffled into the library.,They are put into the command zone.,They are discarded into the graveyard.
What happens to a commander that has been exempted from the procedure that restarts the game in a Commander game?,It does not begin the new game in the command zone but remains that deck’s commander for the new game.,It starts the new game in its owner’s hand.,It is immediately exiled at the beginning of the new game.,It is removed from the game entirely.
"If a commander is exempted from the restarting procedure, does it begin the new game in the command zone?","No, it does not begin the new game in the command zone.","Yes, it begins the new game in the command zone.",It begins the new game in its owner's graveyard.,It begins the new game on the battlefield.
"If a commander has been exempted from the procedure that restarts a Commander game, what is its status for the new game?",It remains that deck’s commander for the new game.,It is removed from the deck and cannot be used again.,It automatically starts in the command zone.,It becomes the player’s new commander.
What happens to the main game when a Magic subgame is restarted?,The main game is unaffected.,The main game also restarts.,The main game changes its winner.,All players in the main game are eliminated.
"After a subgame is restarted, to which winner or loser do main‑game effects that reference a subgame now point?",The winner or loser of the restarted subgame.,The winner or loser of the original subgame before the restart.,The winner or loser of the main game.,The player who initiated the restart.
"When a multiplayer game that uses the limited‑range‑of‑influence option is restarted, which players become involved?","All players in the game, regardless of the range of influence of the ability’s controller.",Only the player who controls the ability that restarts the game.,Only the players within the range of influence of the restarting player.,Only the players who were in the game before it was restarted.
What is a rad counter in Magic: The Gathering?,A kind of counter a player can have,A counter that appears only on artifact creatures,A counter that is removed at the end of the turn,A counter that can only be placed by a sorcery spell
Who controls the inherent triggered ability associated with rad counters?,The active player,The player who last cast a spell,The player who controls the most mana,The game controller
Which rule is rad counters an exception to?,Rule 113.8,Rule 122.5,Rule 125.1,Rule 101.3
Who controls the inherent triggered ability associated with rad counters?,The active player.,The player who has the rad counters.,The controller of the card that granted the rad counters.,No one; the ability is uncontrolled.
Does the inherent triggered ability of rad counters have a source?,"No, it has no source.","Yes, it comes from the card that granted the rad counters.","Yes, it is a continuous effect from the game.","Yes, it is a global effect."
What happens at the beginning of each player's precombat main phase if that player has rad counters?,The player mills a number of cards equal to the number of rad counters they have.,The player draws a number of cards equal to the number of rad counters they have.,The player loses life equal to the number of rad counters they have.,The player exiles a number of cards equal to the number of rad counters they have.
What triggers the rad counters ability at the beginning of a player's precombat main phase?,If that player has one or more rad counters,If that player has no rad counters,When that player casts a spell,At the beginning of combat
How many cards does a player mill during the rad counters ability?,A number of cards equal to the number of rad counters they have,A number of cards equal to their life total,A fixed number of three cards,A number of cards equal to the number of lands in their graveyard
What happens for each nonland card milled by the rad counters ability?,The player loses 1 life and removes one rad counter from themselves,The player draws a card,The player gains 1 life,The player discards a card from their hand
From which zone does the rad counters ability mill cards?,The player's library,The player's graveyard,The battlefield,The command zone
"What does a card that refers to life loss ""from radiation"" mean?",Life lost as a result of the triggered ability associated with rad counters.,Life lost when you receive damage from an opponent’s creature attack.,Life lost when you discard a card from your hand.,Life lost when you draw a card from your library.
Which of the following best describes when an effect created in a subgame can influence the main game?,Only if the effect that created the subgame explicitly defines such influence,"Always, regardless of the effect","Never, subgames are entirely isolated",Only if the main game has no active effects
What does rule 728.1b state about the relationship between definitions created in the main game and those created in a subgame?,"They have no meaning in each other, except as defined by the effect that created the subgame",They automatically apply to both the main game and the subgame,Definitions created in one are copied to the other,Only the main game's definitions affect the subgame
Which of the following is an example of an effect that might cause something to happen in the main game based on the winner or loser of a subgame?,An effect may say something happens in the main game to the winner or loser of the subgame,The subgame winner automatically draws an extra card in the main game,The subgame winner gains a new permanent creature in the subgame,The subgame winner loses life in the main game
What can an effect specify about the main game after a subgame finishes?,That something happens in the main game to the winner or loser of the subgame.,That all players shuffle their main-game libraries.,That the subgame’s cards are returned to the battlefield.,That the main game immediately resumes without any effect from the subgame.
What is created as soon as a subgame starts?,An entirely new set of game zones is created.,All players shuffle their hand and play a new card.,Every creature on the battlefield gains vigilance.,The main‑game library is split into three equal piles.
Which cards are moved from a player's main‑game zone to the corresponding sub‑game zone at the start of a sub‑game?,"All cards in the player’s main‑game library are moved to the sub‑game library, and any supplementary decks in the main‑game command zone are moved to the sub‑game command zone (as specified in rules 728.2a–c).",Only the player’s creatures are moved to the sub‑game library.,Only the cards in the player’s hand are moved to the sub‑game library.,All cards from all zones are moved to the corresponding sub‑game zones.
How is the player who goes first determined when a subgame begins?,Randomly determine which player goes first.,The player who played the last card in the main game goes first.,The player with the higher life total goes first.,The player who owns the most legendary creatures goes first.
"Once the starting player is chosen in a subgame, how does the subgame proceed?","It proceeds like a normal game, following all other rules in rule 103, “Starting the Game.”",It uses a completely different set of rules from the main game.,It skips the “Starting the Game” rules and begins immediately.,It follows a modified set of rules that apply only to subgames.
"When a subgame begins, what happens to each player’s supplementary decks of nontraditional cards?",They are moved to the subgame command zone and shuffled.,They remain in the main‑game command zone.,They are discarded from play.,They are placed directly onto the battlefield.
Where do face‑up nontraditional cards stay when a subgame begins?,They remain in the main‑game command zone.,They are moved to the subgame command zone.,They are removed from the game entirely.,They are shuffled into the subgame command zone.
Where are face‑up nontraditional cards kept during a subgame?,In the main‑game command zone.,In the subgame command zone.,Shuffled into the subgame deck.,Destroyed.
What happens to a player who has fewer than seven cards in their deck when a game begins?,"They lose the subgame when state‑based actions are checked during the upkeep step of the first turn, regardless of any mulligans.",They are allowed to keep playing until their deck runs out.,They are automatically granted an extra mulligan.,They lose the entire game immediately.
When are state‑based actions checked that could cause a player with fewer than seven cards to lose the subgame?,During the upkeep step of the first turn of the subgame.,At the beginning of the main game.,During the end step of the last turn.,After a card is played.
What objects are considered outside a subgame?,"All objects in the main game and all cards outside the main game, except those specifically brought into the subgame.",Only cards outside the main game.,All objects in both the main game and subgame.,Only the opponent’s permanents.
Which players are considered outside the subgame?,All players not currently in the subgame.,Only the player with a hand of more than seven cards.,Only the opponent in a multiplayer game.,All players who have never drawn a card.
What is the subgame status of players who are not currently participating in a subgame?,Outside the subgame,Inside the subgame,In a pending state,Their status is undefined
"When a player is not currently in a subgame, are they considered part of that subgame?","No, they are outside the subgame","Yes, they are inside the subgame",They are neutral and do not belong to any subgame,They are automatically in the main game zone until the next turn begins
What happens to abilities in the main game that trigger on objects leaving a main‑game zone when a card is brought into a subgame from the main game?,"They trigger, but they won’t be put onto the stack until the main game resumes.",They are cancelled immediately.,They are put onto the stack immediately.,They have no effect at all.
When will abilities that trigger on objects leaving a main‑game zone from a subgame be put onto the stack?,When the main game resumes.,Immediately when the object leaves the zone.,After the subgame ends.,Never; they are never placed onto the stack.
What happens to counters that a player receives during a subgame when that subgame ends?,The counters cease to exist.,The counters remain on the permanents involved in the subgame.,The counters are transferred to the player's life total.,The counters are moved to the opponent’s command zone.
What happens to cards that are in a subgame’s exile zone when that subgame ends?,They are returned to the player’s main‑game library.,They are moved to the player’s graveyard.,They stay in exile until the main game continues.,They are immediately destroyed.
"At the conclusion of a subgame, where do phased‑out permanents go?",They are returned to the player’s main‑game library.,They are sent to the command zone.,They are discarded to the graveyard.,They remain phased out until the next turn.
"When the main game resumes after a subgame ends, what happens to the spell or ability that created the subgame?","It finishes resolving, even if its source spell card is no longer on the stack.",It is discarded immediately.,It is put back onto the stack as a new spell.,It is moved to the graveyard.
"After a subgame ends, how are abilities that triggered while the subgame was in progress handled?",They are put onto the stack.,They are discarded.,They are moved to the exile zone.,They are placed on the battlefield.
What happens to a card that was brought into the subgame either from the main game or from outside the main game when the subgame ends?,It will be put into its owner’s main‑game library.,It will be put into its owner’s hand.,It will be destroyed.,It will be placed into the subgame command zone.
What happens to a nontraditional card that began the subgame in a supplementary deck at the end of that subgame?,It is turned face down and placed on the bottom of the supplementary deck.,It is put on top of the main‑game library.,It is exiled to the commander zone.,It is returned to the battlefield in the same state.
What do players do with their supplementary decks after a subgame ends?,They move each supplementary deck from the subgame command zone to the main‑game command zone and shuffle it.,They place each supplementary deck directly onto the battlefield.,They exile each supplementary deck to the command zone.,They destroy each supplementary deck.
What does a player do with their vanguard card at the end of a subgame in a Vanguard game?,Move it from the subgame command zone to the main-game command zone.,Put it on the bottom of their deck.,Destroy the card.,Send it to the battlefield.
Which rule is specifically referenced as the exception for moving the vanguard card?,Rule 313.2.,Rule 728.5a.,Rule 512.1.,Rule 428.2.
What happens to a commander at the end of a subgame in a Commander game?,It is moved from the subgame command zone (if present) to the main‑game command zone.,It is discarded.,It is returned to the owner's hand.,It is removed from the game.
"After a subgame ends in a Commander game, where does a commander go?",The main‑game command zone.,The battlefield.,The graveyard.,The library.
What becomes the main game when a new subgame is created within an existing subgame in Commander?,The existing subgame becomes the main game in relation to the new subgame.,The new subgame automatically merges with the main game.,The subgame that created the new subgame is abandoned.,Nothing changes; both subgames run independently.
Which keyword causes an object to merge with a permanent?,Mutate,Infect,Cascade,Flash
How do you merge an object with a permanent?,Place that object on top of or under the permanent,Sacrifice a creature to the permanent,Tap the permanent and exile the object,Pay two mana and put the object onto the battlefield in front of the permanent
"When an object merges with a permanent, what does the resulting permanent become?",A merged permanent represented by the card or copy that represented that object in addition to any other components that were representing it,A new creature with a new mana cost,A token that copies the merged object,An artifact that loses all abilities
