question,answer,first_wrong_answer,second_wrong_answer,third_wrong_answer
What types of abilities are applied in Layer 7a?,Characteristic‑defining abilities that define power and/or toughness,Abilities that give a creature flying,Abilities that grant first strike,Abilities that set a creature’s color to white and blue
Which rule specifies the definition of characteristic‑defining abilities?,Rule 604.3,Rule 604.2,Rule 606.3,Rule 607.1
Which layer in the layering system applies to effects that set a creature’s power and/or toughness to a specific number or value?,Layer 7b,Layer 7a,Layer 7c,Layer 7d
"When an effect refers to a creature’s base power and/or toughness, which layer is used to apply that effect?",Layer 7b,Layer 7a,Layer 7c,Layer 7d
"If an ability changes a creature’s power and toughness to a fixed number, in which layer does that change occur?",Layer 7b,Layer 7c,Layer 7a,Layer 7d
In which layer of the power‑toughness calculation are effects that refer to a creature’s base power or toughness applied?,Layer 7b,Layer 7a,Layer 7c,Layer 7d
What layer applies effects that modify a creature’s power and/or toughness without setting them to a specific number?,Layer 7c.,Layer 7b.,Layer 7d.,Layer 7e.
What types of effects are applied in layer 7c?,Effects and counters that modify power and/or toughness but don’t set them to a specific number.,Effects that set power and toughness to a specific number.,Effects that switch power and toughness.,Effects that change a creature’s color.
Which layer of the rule system applies to effects that switch a creature’s power and toughness?,Layer 7d,Layer 7b,Layer 7c,Layer 7a
What does an effect that switches a creature’s power and toughness do?,It swaps the creature’s power and toughness values.,It sets the creature’s power to its toughness and its toughness to its power permanently.,It increases both power and toughness by one.,It removes the creature from the battlefield.
"A 1/3 creature receives a +0/+1 effect, and then an effect that switches its power and toughness is applied. What are the creature’s final power and toughness?",4/1,1/4,3/2,2/3
What does an effect that switches a creature’s power and toughness do?,It sets the creature’s toughness to its current power and sets its power to its current toughness.,It doubles the creature’s power.,It sets the creature’s power to zero.,It sets the creature’s toughness to zero.
"After a 1/3 creature receives a +0/+1 effect and then a power‑toughness switch effect is applied, what are the creature’s new power and toughness?",4/1,1/4,5/0,3/3
A creature starts 1/3. It receives a +0/+1 bonus and then a spell that swaps its power and toughness. What are its final power and toughness?,4/1,1/4,0/5,5/0
"After becoming 4/1, the creature receives a +5/+0 bonus. What are its actual power and toughness?",4/6,6/4,5/0,10/5
What are the creature’s actual power and toughness after the sequence of effects described?,4/6,6/4,5/1,4/1
"After the same sequence of effects, what would the creature’s “unswitched” power and toughness be?",6/4,4/6,5/1,4/1
What would be the creature’s unswitched power and toughness after the +5/+0 effect is applied?,6/4,4/6,5/4,6/5
"After the +5/+0 effect is applied to a creature whose switched power and toughness is 4/1, what is its actual power and toughness?",4/6,6/4,5/1,4/5
"When an effect switches a creature’s power and toughness, what becomes the new power and toughness of that creature?",Its power becomes its original toughness and its toughness becomes its original power.,Its power and toughness each increase by one.,The creature loses all its power and toughness bonuses.,The creature’s power stays the same while its toughness doubles.
What is the power and toughness of a 1/3 creature after it is given +0/+1 and then an effect that switches its power and toughness is applied?,4/1,1/4,3/1,3/4
"If a creature with base power/toughness 1/3 receives a +0/+1 effect and then an effect that switches its power and toughness, but the +0/+1 effect ends before the switch effect ends, what will the creature’s power and toughness be?",3/1,1/3,4/1,4/4
"After a creature receives a +0/+1 boost and then two consecutive power‑toughness switches, what are its final power and toughness?",1/4,1/3,3/1,4/1
What does a power‑toughness switch effect do to a creature?,Exchanges the creature’s power for its toughness,Keeps power unchanged and doubles toughness,Changes power to +2,Sets both power and toughness to zero
"If a creature is given a +0/+1 boost and then a single power‑toughness switch, what will its power and toughness be?",4/1,1/4,1/3,3/1
What is the creature’s power and toughness after two switch effects are applied sequentially to a creature that was originally 1/3?,1/4,2/5,3/1,1/3
"When two switch effects are applied to a creature, what does the phrase “essentially cancel each other” mean?",It returns the creature to its original power and toughness,It doubles the creature’s power and toughness,It halves the creature’s power and toughness,It turns the creature into a 0/0
When do changes to an object's characteristics take effect in Magic: The Gathering?,Instantly.,At the end of the turn.,At the beginning of the next turn.,After all other continuous effects resolve.
What does the rules say about the timing of changes to an object's characteristics caused by continuous effects?,They are applied instantaneously.,They are delayed until the next state‑based actions.,They are applied only at the end of the turn.,They are applied only during the upkeep step.
What is the result when a 2/2 black creature under the influence of Honor of the Pure is turned white?,3/3,It remains a 2/2,It becomes a 4/4,It disappears from the battlefield
What happens to that same creature after it is later turned red?,It reverts to a 2/2,It stays a 3/3,It becomes a 1/1,It gains a new temporary buff
In which layer does the effect of Honor of the Pure apply?,Layer 7c,Layer 5,Layer 6,Layer 4
Which layer is responsible for changing a creature’s color?,Layer 5,Layer 7c,Layer 6,Layer 8
What happens to a black creature that is changed to white while under the influence of Honor of the Pure?,It receives the +1/+1 bonus and becomes a 3/3.,It remains a 2/2.,It becomes a 2/2 with no change in color.,It loses all power and toughness and becomes a 0/0.
Which layer determines the color change of a creature in the Magic: The Gathering rules system?,Layer 5.,Layer 7c.,Layer 6.,Layer 3.
Which layer applies the +1/+1 bonus granted by the enchantment Honor of the Pure?,Layer 7c.,Layer 5.,Layer 4.,Layer 2.
"After a white creature that has a +1/+1 from Honor of the Pure changes its color to red, what happens to that creature’s power and toughness?","The creature’s +1/+1 bonus from Honor of the Pure stops applying, so it returns to its original 2/2 size.",The creature keeps the +1/+1 bonus and becomes a 3/3.,The creature’s power and toughness are set to 0/0 because it no longer matches the enchantment’s color restriction.,The creature gains a new +1/+1 bonus because the enchantment now applies to all colors.
"After an effect puts a +1/+1 counter on Gray Ogre, what are its new power and toughness?",3/3,2/2,4/4,5/5
In which layer of the Magic rules does the effect of putting a +1/+1 counter occur?,Layer 7c,Layer 5,Layer 6,Layer 8
